var,context,short def,long def,number of vars in sentence,context length,distance
Dq,It is easy to obtain the generalized dimensions Dq and the singularity,dimension,generalized dimension,1,12,1
HI,curves show evident powerlaw scaling with the Hurst indexes HI for definition I HII,index,Hurst index,2,14,1
t,price and the lowest selling price at any time t in the limitorder book,time,time,1,14,1
Eν,in the system GF is the Fermi coupling constant Eν is the energy of neutrinos,energy,energy of neutrinos,2,15,3
Mpasta,In Table we show the mass Mpasta of the pasta phases just before the bounce,mass,mass,1,15,1
M,If the mass M is dominated by dark matter then the right,mass,mass,1,12,1
Bg,crystal also exhibits a gravitomagnetic London moment Bg proportional to the supersolid fraction its angular momentum,moment,gravitomagnetic London moment,1,16,1
f,by characterizing all the Boolean functions f having a variable identification minor,function,Boolean function,3,12,1
σ,of the standard deviation σ of the gaussian noise in units of the,deviation,standard deviation,1,13,1
L,on a straight line of length L in a twodimensional space,length,length,1,11,1
m,seek the dimension m of the nonlinear manifold that captures the behavior,dimension,dimension,1,12,1
μH,charge density n and used to evaluate the Hall mobility μH,mobility,Hall mobility,2,10,1
B,If a bush B has a vertex which is incident with at,bush,bush,1,12,1
p,of constant degree delete each vertex independently with probability p,probability,probability,1,10,1
G,Take a random dregular graph G on n vertices and independently delete each vertex,graph,random dregular graph,2,14,1
Nj,Let Nj be the number of buckets of P^ with,buckets,number of buckets,2,10,5
S,G on n vertices is a if every set S of of s vertices has at,set,set,3,16,1
b,probability p independently for each bucket b,bucket,bucket,2,7,1
δ,The constant δ depends only on η,constant,constant,1,7,1
pr,There is a probability pr that a reproduction event will take place,probability,probability,1,12,1
pL,is known to j then there is a probability pL,probability,probability,1,10,1
pF,However there is also a probability pF that j will forget this word not known,probability,probability,1,15,1
k,There is one central node with degree k,degree,degree,1,8,1
ρ,also consisting of N nodes and connectivity probability ρ,probability,connectivity probability,2,9,1
ϵ,where ϵ is the asymptotic cutoff,cutoff,asymptotic cutoff,1,6,4
ϵγ,the electrons is approximately equal to the photon energy ϵγ,energy,photon energy,1,10,1
ℛ,The number of reactions per unit time and volume ℛ is given by,volume,volume,1,13,1
q,with zero radial velocity M is the ion mass q is the ion charge and,charge,ion charge,2,15,4
T^,dynamics can be determined by the single dimensionless parameter T^,parameter,single dimensionless parameter,1,10,1
Φ,the electron density in equilibrium with the electrostatic potential Φ can be written as,potential,electrostatic potential,1,14,1
R,and the initial radius of the cluster R,radius,initial radius of the cluster,1,8,4
eN,of the total ionic charge eN,charge,total ionic charge,1,6,1
T,with hot Maxwellian electrons having temperature T,temperature,temperature,1,7,1
λ,λ being the initial Debye length,length,initial Debye length,1,6,5
δϵ,This is accomplished by expressing the energy variation δϵ as,variation,energy variation,1,10,1
ξ,where ξ is the expansion factor,factor,expansion factor,1,6,4
r,from radius r with zero radial velocity M is the ion,radius,radius,2,11,1
l,The bar’s deprojected length l can then be obtained from the observed length,length,bar's deprojected length,1,13,1
Φ,is the inclination angle of the galaxy and Φ is the angle the bar makes with galaxy’s,angle,angle,1,17,5
vgas,the system and the orbital velocity of the galaxy vgas,velocity,orbital velocity of the galaxy,1,10,4
Δϕ,Azimuthal angular differences between trigger and associated particles Δϕ are calculated,differences,Azimuthal angular differences,1,11,6
Ef,a horizontally curved graphite analyzer with fixed final energy Ef in the range,energy,fixed final energy,1,13,1
Δsg,that showed the opening of a spin gap Δsg at the superconducting,gap,spin gap,1,12,1
T,function of energy ℏω magnetic field H and temperature T we identify similarities and,temperature,temperature,3,14,1
H,data as a function of energy ℏω magnetic field H and temperature T,field,magnetic field,3,13,1
ℏω,data as a function of energy ℏω magnetic field H and temperature T,energy,energy,3,13,1
L,When the orbital angular momentum L in both steps of the sequence is zero,momentum,orbital angular momentum,1,14,1
d,dynamics for the Fortuin–Kasteleyn randomcluster model in dimensions d by Monte Carlo simulation,dimensions,dimensions,1,13,1
L,simple hypercubic lattices of linear size L with periodic boundary conditions,size,linear size,1,11,1
zexp,We also show that the dynamic critical exponent zexp is very close (possibly equal) to the rigorous,exponent,dynamic critical exponent,1,17,1
p,to independent bond percolation with occupation probability p,probability,occupation probability,1,8,1
dred,the cluster is most fragile i.e. the redbond fractal dimension dred is,dimension,redbond fractal dimension,1,11,1
G,is defined on any finite graph G by the partition function,graph,finite graph,5,11,1
t,we define the unnormalized autocorrelation function at time lag t,time,time lag,1,10,2
ΩM,where ΩM and ΩDE are the matter and dark energy density relative,density,matter density,2,12,9
w,is the curvature and w is the dark energy equation of state,equation,dark energy equation,1,12,5
α,is the total energy density and α is a dimensionless parameter,parameter,dimensionless parameter,1,11,4
ts,Then waves emitted during the time interval (ts) and detected later,interval,time interval,1,11,1
ΩDE,where ΩM and ΩDE are the matter and dark energy density relative,density,dark energy density,2,12,7
z,H is the (scaled) Hubble parameter at redshift z c is the speed of light,redshift,redshift,3,15,1
ρ,ΩCh is the current energy density of the gas ρ is the total energy density and,density,total energy density,2,16,4
S,Consider a twolevel quantum system S,system,twolevel quantum system,1,6,1
p,with probability p creating one excitation in the environment,probability,probability,1,9,1
α,Therefore we finetune the parameter α so that the redshift function,parameter,parameter,1,11,1
g¯μν,the metric may be separated into a background component g¯μν and a perturbation hμν,component,background component,2,14,1
R,R is the curvature scalar and using metric,scalar,curvature scalar,1,8,4
r,where r is the wormhole throat radius,radius,wormhole throat radius,1,7,5
μ,In this context the additional mass parameter μ has been introduced to,parameter,additional mass parameter,1,12,1
ϕmatter,nonrelativistic particles with mass m the phase shift is ϕmatter,shift,phase shift,2,10,2
L,being the longitudinal momentum of the particles L,momentum,longitudinal momentum of the particles,1,8,4
Sij,may be reflected back into the loop with amplitude Sij where each phase φij,amplitude,amplitude,2,14,1
Sββ,mirror is only permitted to arm ββ′ with amplitude Sββ,amplitude,amplitude,1,10,1
it,has a reflection amplitude r and a transmission amplitude it which is controllable for example,amplitude,transmission amplitude,2,15,6
δL,where δL is the length difference between,difference,length difference,1,7,4
Δk,such that an integration over a wide momentum bandwidth Δk washes out the,bandwidth,wide momentum bandwidth,1,13,1
ϕlight,light waves with frequency ω this phase shift is ϕlight where c is the,shift,phase shift,2,14,2
S′,where S′ is the scattering matrix of the output junction,matrix,scattering matrix,1,10,4
Φ,as a function of the magnetic flux Φ when an effective path length,flux,magnetic flux,1,13,1
r,has a reflection amplitude r and a transmission amplitude it,amplitude,reflection amplitude,2,10,1
ϕ,the particles L the circumference of the loop and ϕ the rotational phase shift,shift,rotational phase shift,2,14,4
η,where the interference visibility η decreases with momentum bandwidth,visibility,interference visibility,1,9,1
⟨kT⟩,used to determine the value of partonic intrinsic momentum ⟨kT⟩,momentum,partonic intrinsic momentum,1,10,1
ℒ,can be carried out on the superspace Lagrangian density ℒ or on the Kähler potential K,density,superspace Lagrangian density,2,16,1
α,This jump is then accepted with probability α otherwise the chain stays at the,probability,probability,1,14,1
j,The index j counts from the end of the frequency annealing,index,index,1,11,1
β,by a heat factor β which was adjusted based on,factor,heat factor,1,10,1
d,the bifurcation and the parameter d measures the shift in preferred frequency as the,parameter,parameter,1,14,1
α,compared to the highest order coefficient α as the forcing frequency ω approaches the natural,coefficient,highest order coefficient,2,15,1
A,of the complex amplitude A of the most unstable mode,amplitude,complex amplitude,1,10,1
I,The command current I is directly injected into the cell body,current,command current,1,11,1
m,m is the voltagedependent fraction of open conformational subunits,fraction,voltagedependent fraction,1,9,4
Vm,this model the dynamical evolution of the membrane potential Vm is given by an equation based on the,potential,membrane potential,1,18,1
σ,For instance if we let σ and σ' be the eigenvalues associated with the,eigenvalue,eigenvalue,2,14,5
Cm,Here Vm is the membrane potential and Cm is the membrane capacitance per unit area,capacitance,membrane capacitance,2,15,4
bj,also depends on how closely tuned the natural frequencies bj of the nonlinear oscillation mechanisms,frequencies,natural frequencies,1,15,1
λ,stability in which a complex conjugate pair of eigenvalues λ λ¯ passes from the,eigenvalue,eigenvalue,2,14,1
b,The parameter b is the frequency of the system at the,frequency,frequency of the system,1,11,3
EL,conductance gL per unit area and a reversal potential EL,potential,reversal potential,2,10,1
ϕ,Again the phase ϕ in,phase,phase,1,5,1
ψ,degrade the response R depending upon the coupling phases ψ and ψ',phase,coupling phase,3,12,1
F,where F is the resonant forcing amplitude,amplitude,resonant forcing amplitude,1,7,5
