var,context,def
"λp","values of the chemical potential λp such that the function μ","potential"
"ϵ","interaction in the Holstein model ϵ represents the antiferromagnetic superexchange","model"
"JCP","The Jarlskog invariant JCP is a universal rephasing invariant quantity which is","invariant"
"B","Huge samples of B mesons produced at the B factories and recent","mesons"
"β","which are essentially determined by the two angles β and γ (in leading order of λ except","angle"
"V","The CKM matrix V originating from the diagonalization of quark mass matrices","matrix"
"γ","are essentially determined by the two angles β and γ","angle"
"ω","exponent which characterizes this model is the energy exponent ω defined by σE∼tω where E is the the","exponent"
"k","and is periodic in x with an arbitrary wavenumber k","wavenumber"
"𝐯","Here 𝐯 is the fluid velocity field as","velocity"
"Akλ","is a normalizing constant and the constants λ and Akλ can systematically be found numerically to any desired","constant"
"𝐣","of position and time 𝐁 is the magnetic field 𝐣 is the electric current","field"
"λ","normalizing constant and the constants λ and Akλ can systematically be found numerically to","constants"
"F","Given any graph Γ we call an oriented subset F of edges of G a of Γ if","subset"
"μ","where μ is the magnetic moment of the primary M","moment"
"P","where M is the mass of the primary and P its spin period","period"
"V","The Stokes parameter V is contained in the intensity ratio of both","parameter"
"pV","Each pair of exposures contains the level of polarization pV where the Stokes parameter","polarization"
"R","know its radius (R) since B","radius"
"M˙","magnetic moment of the primary M its mass and M˙ the mass transfer rate","mass"
"M","where M is the mass of the primary and P","mass"
"σ","of nearest neighbor sites each having a spin with value σ","value"
"d","In d dimensions the free energy per site f of","dimensions"
"Tm","temperature we will refer to as the melting temperature Tm","temperature"
"TR","At finite temperatures below the roughening temperature TR the ECS still has","temperature"
"Θ","part of the surface tension will approach the point Θ with zero slope","point"
"γ","to the center of mass of the crystal and γ is the surface tension of","tension"
"m","no restriction about the Kaluza Klein excitation numbers n and m","number"
"f","Note that f is a characteristic length of brane fluctuation","length"
"τ","where τ is a four dimensional tension and the ellipsis","tension"
"n","there appears no restriction about the Kaluza-Klein excitation numbers n and m","number"
"ℓs","The string length ℓs is related to the Planck","length"
"D","Consider a theory in D dimensions of a gauge field Aμa with gauge","dimensions"
"ℓp","string length ℓs is related to the Planck length ℓp by a power of","length"
"G","dimensions of a gauge field Aμa with gauge group G and D","group"
"T","black holes emit thermal radiation with a temperature T where κ is the","temperature"
"σ","slightly age dependent but we assume an age independent width σ","width"
"ϕ","where ϕ is the redshift function","function"
"ρ","In terms of the density ρ and principal pressures pi","density"
"χ","the surface g by means of the Euler characteristic χ","characteristic"
"b","where b is the throat radius and a is a","radius"
"kB","We have chosen Boltzmann’s constant kB and we restrict ourselves","constant"
"σB","and half of type B with radii σA and σB respectively and unit mass","radius"
"σA","type A and half of type B with radii σA and σB respectively and unit mass","radius"
"n","of tensor product of Hilbert spaces with arbitrary dimension n","dimension"
"Cnl","The nonlinear constant is Cnl where N is the","constant"
"E~","functions far from equilibrium with a chosen total energy E~","energy"
"N","where N is the total number of particles in the","number"
"T~","where T~ is our dimensionless temperature","temperature"
"τ","energy ε~ and time τ","time"
"T∼","data are consistent with a plasma emitting at temperature T∼ keV suggesting that a two temperature gas may","temperature"
"τ","also of the holomorphic gauge coupling constant τ which corresponds","constant"
"Rλ","terms of the Taylor microscale Reynolds number Rλ which is related to the conventional","number"
"τη","times scales of the order of the Kolmogorov time τη","time"
"ν","where ν is the kinematic viscosity and ϵ is the","viscosity"
"ϵ","where ν is the kinematic viscosity and ϵ is the turbulent energy dissipation","dissipatioy"
"m","Let us consider charged particles with bare mass m immersed in a thermal or stochastic","mass"
"ϕ","For scalar particles described by a quantum field ϕ the Lagrangian density is of the form","field"
"Ta","The temperature is a function of the acceleration: Ta","temperature"
"M","impose a physical cutoff M in Σ and compute m","cutoff"
"Λ","dimensions with cosmological constant Λ","dimensions"
"T","all of which are finitely covered by the torus T","torus"
"e","two possibilities amounts to showing that the Euler number e of M is zero","number"
"Γμν","theory on the lattice the kernel Γμν may be written as","kernel"
"ℬ","is restricted to the Brillouin zone ℬ","zone"
"x→","We shall denote a lattice site by the vector x→ and a link between x→","vector"
"e","Due to the phase factor e","factor"
"λ","the obtained penetration depth λ","depth"
"N","As described in section in each stretch we have N samples","samples"
"κ","The IH boundary conditions imply that the acceleration κ of","acceleration"
"EH","where as usual T is the kinetic energy EH is the Hartree energy Eext is the external","energy"
"ϕi","If we choose the basis set ϕi to be formed by the wavefunctions of the","set"
"T","where as usual T is the kinetic energy EH is the Hartree","energy"
"Vext","electrons moving in an external potential Vext can be calculated by means","potential"
"Eext","kinetic energy EH is the Hartree energy Eext is the external","energy"
"δE","where δE is the energy","energy"
"N","gaussian random number to each of the N degrees of freedom","degrees"
"E","of the electronelectron interaction and E is a constant energy shift per atom and","shift"
"EB","A and B with total energies EA and EB respectively such that the atomic coordinates","energy"
"M","possible by making a sequence of M intermediate displacement steps each one","steps"
"p","corresponding respectively to H˙ and pressure p","pressure"
"ξ","and ξ is the nonminimal coupling constant","constant"
"R","spaces is their nonminimal coupling to the scalar curvature R of spacetime which is required by first loop","curvature"
"ψ","where R denotes the scalar curvature ψ is the scalar field","curvature"
"Gμν","where Gμν is the Einstein tensor","tensor"
